Symbol,Description,Exchange,ExchangeSymbol,SessionStart,SessionEnd,Sector,Spreads,Butterfly,DoubleButterfly,Condors,Packs,Bundles
ED,Eurodollar Futures,CME,GE,17:00:00,16:00:00,Fixed Income,1,1,1,1,1,1
TU,2Y Treasury Note Future,CME,ZT,17:00:00,16:00:00,Fixed Income,1,1,0,0,0,0
TY,10Y Treasury Note Future,CME,ZN,17:00:00,16:00:00,Fixed Income,1,1,0,0,0,0
FV,5Y Treasury Note Future,CME,ZF,17:00:00,16:00:00,Fixed Income,1,1,0,0,0,0
US,US Treasury Bond Future,CME,ZB,17:00:00,16:00:00,Fixed Income,1,1,0,0,0,0
FGBS,Euro-Schatz Futures,EUREX,FGBS,1:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FGBM,Euro-Bobl Futures,EUREX,FGBM,1:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FGBL,Euro-Bund Futures,EUREX,FGBL,1:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FGBX,Euro-Buxl Futures,EUREX,FGBX,1:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FBTP,Long-Term Euro-BTP Futures,EUREX,FBTP,1:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FEI,Euribor Futures,ICE,I,19:00:00,15:00:00,Fixed Income,1,1,0,0,0,0
FSS,Short Sterling Futures,ICE,L,1:30:00,12:00:00,Fixed Income,1,1,0,0,0,0
FES,Euroswiss Futures,ICE,S,1:30:00,12:00:00,Fixed Income,1,1,0,0,0,0
FLG,Long Gilt Future,ICE,R,2:00:00,12:00:00,Fixed Income,1,1,0,0,0,0
