id,ticker,underlying,description,exchange_group,exchange,expiry_posix_datetime,min_order_size,tick_size,tradeable_tick_size,currency,tt_symbol_id
1,GEV5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.25,0.25,USD,00A0JP00GEZ
2,GEX5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0KP00GEZ
3,GEZ5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LP00GEZ
4,GEF6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0AQ00GEZ
5,GEG6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0BQ00GEZ
6,GEH6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CQ00GEZ
7,GEM6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FQ00GEZ
8,GEU6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IQ00GEZ
9,GEZ6,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LQ00GEZ
10,GEH7,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CR00GEZ
11,GEM7,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FR00GEZ
12,GEU7,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IR00GEZ
13,GEZ7,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LR00GEZ
14,GEH8,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CS00GEZ
15,GEM8,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FS00GEZ
16,GEU8,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IS00GEZ
17,GEZ8,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LS00GEZ
18,GEH9,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CT00GEZ
19,GEM9,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FT00GEZ
20,GEU9,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IT00GEZ
21,GEZ9,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LT00GEZ
22,GEH0,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CU00GEZ
23,GEM0,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FU00GEZ
24,GEU0,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IU00GEZ
25,GEZ0,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LU00GEZ
26,GEH1,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CV00GEZ
27,GEM1,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FV00GEZ
28,GEU1,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IV00GEZ
29,GEZ1,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LV00GEZ
30,GEH2,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CW00GEZ
31,GEM2,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FW00GEZ
32,GEU2,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IW00GEZ
33,GEZ2,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LW00GEZ
34,GEH3,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CX00GEZ
35,GEM3,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FX00GEZ
36,GEU3,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IX00GEZ
37,GEZ3,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LX00GEZ
38,GEH4,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0CY00GEZ
39,GEM4,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0FY00GEZ
40,GEU4,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0IY00GEZ
41,GEZ4,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,00A0LY00GEZ
42,GEH5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,01A0CA00GEZ
43,GEM5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,01A0FA00GEZ
44,GEU5,GE,EURODOLLAR FUTURE,CME,CME,,1,0.5,0.5,USD,01A0IA00GEZ
45,CLF6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0AQ00CLZ
46,CLF7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0AR00CLZ
47,CLF8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0AS00CLZ
48,CLF9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0AT00CLZ
49,CLF0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0AU00CLZ
50,CLG6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0BQ00CLZ
51,CLG7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0BR00CLZ
52,CLG8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0BS00CLZ
53,CLG9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0BT00CLZ
54,CLG0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0BU00CLZ
55,CLH6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CQ00CLZ
56,CLH7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CR00CLZ
57,CLH8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CS00CLZ
58,CLH9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CT00CLZ
59,CLH0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CU00CLZ
60,CLJ6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DQ00CLZ
61,CLJ7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DR00CLZ
62,CLJ8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DS00CLZ
63,CLJ9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DT00CLZ
64,CLJ0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DU00CLZ
65,CLK6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0EQ00CLZ
66,CLK7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ER00CLZ
67,CLK8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ES00CLZ
68,CLK9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ET00CLZ
69,CLK0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0EU00CLZ
70,CLM6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FQ00CLZ
71,CLM7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FR00CLZ
72,CLM8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FS00CLZ
73,CLM9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FT00CLZ
74,CLM0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FU00CLZ
75,CLM1,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FV00CLZ
76,CLM2,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FW00CLZ
77,CLM3,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FX00CLZ
78,CLN6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GQ00CLZ
79,CLN7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GR00CLZ
80,CLN8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GS00CLZ
81,CLN9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GT00CLZ
82,CLN0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GU00CLZ
83,CLQ6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HQ00CLZ
84,CLQ7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HR00CLZ
85,CLQ8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HS00CLZ
86,CLQ9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HT00CLZ
87,CLQ0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HU00CLZ
88,CLU6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IQ00CLZ
89,CLU7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IR00CLZ
90,CLU8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IS00CLZ
91,CLU9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IT00CLZ
92,CLU0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IU00CLZ
93,CLV6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JQ00CLZ
94,CLV7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JR00CLZ
95,CLV8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JS00CLZ
